Distance_km,Coal_Weight_Ton,Fuel_Used_Liters,Average_Speed_kmh,Loading_Time_Min,Unloading_Time_Min,Weather,Traffic_Level,Driver_Experience_Years,Previous_Delays,Safety_Score,Fuel_Efficiency_km_per_liter,Delay_Probability,Actual_Delay,Risk_Level,Recommended_Action
67.78,31.43,20.02,42.77,37.73,27.16,Rain,Medium,16,5,78.44,3.3856143856143857,0.3996742036545312,0,MEDIUM,Monitor trip
23.62,22.41,10.09,49.63,25.47,25.38,Clear,Low,15,4,87.71,2.3409316154608524,0.14173992137898997,0,LOW,Normal operation
42.04,30.32,12.82,47.81,36.89,19.18,Clear,Low,8,8,91.68,3.279251170046802,0.21100623728445242,0,LOW,Normal operation
131.36,18.03,24.9,49.84,37.64,21.79,Cloudy,Low,11,4,73.8,5.275502008032129,0.2742312878875842,0,LOW,Normal operation
113.16,31.34,31.34,32.44,16.7,21.72,Heavy_Rain,Low,20,1,84.14,3.610721123165284,0.6327959315249084,0,HIGH,Increase trip monitoring
24.56,32.2,9.51,49.46,40.49,29.57,Clear,Medium,11,9,78.85,2.5825446898002102,0.3783467332036996,0,MEDIUM,Monitor trip
132.75,38.52,29.35,42.51,38.83,21.68,Rain,Medium,1,7,84.04,4.522998296422487,0.7506642305781073,0,CRITICAL,Immediate operational intervention
115.36,20.74,25.47,36.17,28.34,22.19,Rain,Low,9,2,78.28,4.529250098154692,0.4316478891545467,0,MEDIUM,Monitor trip
29.92,17.94,6.71,60.19,44.33,23.98,Cloudy,Low,16,3,81.75,4.4590163934426235,0.2073835231759679,0,LOW,Normal operation
135.87,23.04,25.06,36.66,28.37,24.93,Clear,High,2,4,84.85,5.421787709497207,0.5729422017688837,1,HIGH,Increase trip monitoring
79.66,22.18,14.07,42.63,37.34,22.6,Rain,Low,20,3,88.7,5.6616915422885565,0.2650946065318607,0,LOW,Normal operation
70.73,28.62,20.34,40.69,27.62,22.21,Clear,High,19,2,87.74,3.477384464110128,0.3231123816924129,0,MEDIUM,Monitor trip
134.31,37.72,29.7,38.25,37.4,29.28,Rain,Medium,8,4,86.25,4.522222222222222,0.4196521446506889,0,MEDIUM,Monitor trip
30.8,39.0,13.28,50.51,42.38,31.38,Clear,Medium,11,5,88.09,2.319277108433735,0.23224007560239399,0,LOW,Normal operation
82.13,27.9,17.14,55.06,20.68,14.87,Clear,Low,16,4,81.89,4.79171528588098,0.13805921581202804,0,LOW,Normal operation
129.82,31.27,27.27,24.64,44.16,26.15,Rain,High,11,4,71.01,4.76054272093876,0.7181805998825859,1,CRITICAL,Critical monitoring - High traffic
95.96,15.95,16.69,62.56,39.36,20.7,Clear,Low,11,4,78.17,5.749550629119232,0.13923766268082288,1,LOW,Normal operation
46.3,16.85,17.01,29.52,24.74,18.89,Rain,High,19,6,97.19,2.7219282774838325,0.528392458497091,0,HIGH,Increase trip monitoring
30.76,33.53,13.25,37.7,44.54,25.49,Rain,Medium,9,7,79.76,2.321509433962264,0.4670981550761446,0,MEDIUM,Monitor trip
45.36,35.41,13.91,58.67,38.87,26.99,Clear,Low,16,1,86.33,3.260963335729691,0.11543379582808483,0,LOW,Normal operation
33.33,35.24,12.71,41.89,22.23,26.83,Cloudy,High,7,7,69.51,2.6223446105428794,0.46558327511992453,0,MEDIUM,Monitor trip
76.25,18.15,14.24,59.58,26.33,27.86,Clear,Low,10,4,81.29,5.354634831460674,0.1638352107276441,0,LOW,Normal operation
130.2,22.99,26.78,43.85,47.39,32.04,Cloudy,Medium,10,0,76.63,4.861837191934279,0.4236611235021322,1,MEDIUM,Monitor trip
144.38,16.12,31.64,32.36,49.31,23.49,Rain,Low,2,6,76.47,4.563211125158028,0.8496176566169419,1,CRITICAL,Immediate operational intervention
144.65,22.63,24.73,57.61,38.21,28.45,Cloudy,Low,4,1,83.86,5.849171047310959,0.265752929721687,1,LOW,Normal operation
115.42,35.18,28.99,20.0,41.92,19.93,Heavy_Rain,High,15,4,74.56,3.981372887202484,0.799078885405957,1,CRITICAL,Critical monitoring - Heavy rain risk
58.29,22.46,13.45,49.05,33.69,24.7,Clear,Medium,3,1,68.14,4.333828996282528,0.21473901736392037,1,LOW,Normal operation
82.07,20.39,17.82,39.84,48.38,22.72,Clear,Medium,2,2,76.95,4.605499438832772,0.3095004557473759,0,MEDIUM,Monitor trip
137.88,24.55,26.44,51.13,38.22,21.97,Clear,Low,14,7,69.26,5.21482602118003,0.4242516161967868,1,MEDIUM,Monitor trip
108.8,17.09,19.45,41.04,45.49,24.12,Clear,Medium,15,1,75.46,5.593830334190232,0.5370508505669129,0,HIGH,Increase trip monitoring
86.73,19.42,18.16,42.9,22.92,28.19,Clear,Medium,3,2,77.55,4.775881057268722,0.23275253331886275,0,LOW,Normal operation
57.64,32.49,17.12,34.01,37.14,19.78,Rain,Medium,6,6,87.23,3.366822429906542,0.44805087549397055,1,MEDIUM,Monitor trip
114.3,36.94,27.0,58.26,30.41,23.0,Clear,Low,15,1,100.0,4.233333333333333,0.170699237037885,1,LOW,Normal operation
33.66,20.55,10.8,47.19,36.97,24.71,Rain,Low,10,2,86.24,3.1166666666666663,0.25712884875224956,0,LOW,Normal operation
56.84,31.21,14.16,46.09,40.35,30.61,Rain,Low,5,2,90.69,4.0141242937853105,0.24860884945973802,0,LOW,Normal operation
80.12,19.74,18.27,44.12,27.62,26.77,Rain,Low,4,2,59.87,4.385331143951834,0.24332184502049792,0,LOW,Normal operation
66.0,34.75,21.77,48.73,38.05,23.35,Cloudy,Medium,10,2,79.54,3.031694993109784,0.20417001304380775,0,LOW,Normal operation
78.6,20.67,17.45,45.37,33.61,26.3,Cloudy,Low,20,8,76.4,4.504297994269341,0.3066993995963573,0,MEDIUM,Monitor trip
22.16,30.12,13.38,33.13,40.53,22.25,Rain,Medium,11,4,77.92,1.656203288490284,0.3907769778332937,1,MEDIUM,Monitor trip
56.07,39.53,21.37,37.25,35.41,22.77,Clear,High,2,4,84.03,2.623771642489471,0.3668973941155067,1,MEDIUM,Monitor trip
51.82,26.79,11.24,40.06,43.33,25.01,Clear,Medium,16,2,85.62,4.610320284697509,0.22015698246031876,0,LOW,Normal operation
46.74,21.4,13.44,61.98,30.05,22.0,Clear,Low,11,2,91.51,3.4776785714285716,0.12697585282132876,0,LOW,Normal operation
42.83,24.39,17.21,21.98,46.5,34.83,Heavy_Rain,High,14,0,76.3,2.4886693782684484,0.7079589058257854,1,CRITICAL,Critical monitoring - Heavy rain risk
94.03,20.35,19.77,54.25,28.98,22.46,Clear,Low,14,2,83.95,4.756196256954983,0.12402957330212222,0,LOW,Normal operation
109.81,32.49,25.84,41.19,29.74,18.43,Cloudy,Medium,6,2,68.47,4.249613003095975,0.30505783268136344,0,MEDIUM,Monitor trip
99.52,28.88,23.12,38.67,41.42,31.42,Cloudy,Medium,20,1,83.04,4.304498269896193,0.259912655931944,0,LOW,Normal operation
71.66,27.76,15.83,45.55,44.54,28.04,Rain,Low,20,4,88.99,4.526847757422615,0.28008924002470803,0,LOW,Normal operation
90.47,22.78,19.98,33.19,46.58,27.76,Clear,High,2,4,90.38,4.528028028028028,0.4424979337556658,1,MEDIUM,Monitor trip
76.77,26.37,19.26,48.45,28.76,23.16,Clear,Low,7,1,66.07,3.9859813084112146,0.22187649980080795,1,LOW,Normal operation
110.65,26.46,26.51,23.05,28.3,29.41,Rain,High,3,2,83.88,4.1738966427763105,0.7286977303619072,1,CRITICAL,Critical monitoring - High traffic
23.42,27.92,11.59,37.73,37.78,30.8,Clear,High,4,1,83.51,2.020707506471096,0.2922509497798531,0,LOW,Normal operation
109.41,18.75,24.34,30.21,36.84,18.71,Clear,High,3,5,77.36,4.495069843878389,0.7145252758208507,1,CRITICAL,Critical monitoring - High traffic
76.23,35.12,16.98,36.3,47.06,19.58,Rain,Medium,7,2,95.77,4.489399293286219,0.37860157920880183,1,MEDIUM,Monitor trip
106.93,15.4,22.57,53.51,43.45,22.95,Clear,Low,4,1,99.98,4.7377049180327875,0.2140123155180444,0,LOW,Normal operation
73.42,22.29,17.15,60.13,37.78,20.52,Cloudy,Low,2,4,81.72,4.281049562682216,0.18292712109275383,1,LOW,Normal operation
104.29,33.64,28.09,52.04,45.96,36.43,Clear,Medium,10,1,90.57,3.7127091491634037,0.46985308089487565,1,MEDIUM,Monitor trip
148.94,37.38,33.88,60.69,55.75,24.21,Clear,Low,6,3,83.9,4.396103896103896,0.23549980558907962,1,LOW,Normal operation
48.53,30.15,14.63,47.46,31.73,22.44,Cloudy,Low,1,3,90.79,3.3171565276828434,0.20772258684766706,0,LOW,Normal operation
62.35,38.56,18.97,26.86,25.94,31.37,Rain,Low,9,4,79.15,3.2867685819715344,0.3582161184768068,0,MEDIUM,Monitor trip
84.84,39.8,21.74,55.19,39.37,23.38,Clear,Medium,9,6,84.68,3.9024839006439747,0.34363922287699733,0,MEDIUM,Monitor trip
135.06,37.05,36.28,20.0,32.67,23.08,Heavy_Rain,Medium,2,4,87.89,3.7227122381477398,0.8367050820305892,1,CRITICAL,Critical monitoring - Heavy rain risk
60.49,37.25,18.86,57.97,42.69,24.58,Clear,Low,18,0,86.13,3.207317073170732,0.13327469959397098,0,LOW,Normal operation
39.72,17.75,11.27,40.41,19.53,29.18,Clear,Medium,18,4,94.58,3.524401064773736,0.21008263392078344,1,LOW,Normal operation
45.59,21.83,8.81,58.78,29.69,26.02,Clear,Low,6,3,97.6,5.174801362088536,0.1426775049258404,0,LOW,Normal operation
81.63,26.26,17.9,51.11,40.37,22.71,Heavy_Rain,Low,5,3,79.82,4.560335195530726,0.40966360470221186,0,MEDIUM,Monitor trip
100.2,31.94,25.11,51.37,38.16,24.94,Clear,Low,12,4,75.17,3.990442054958184,0.20626657550572142,0,LOW,Normal operation
99.75,28.96,25.93,38.58,28.95,39.16,Heavy_Rain,Low,17,2,81.63,3.846895487851909,0.3398008026018314,1,MEDIUM,Monitor trip
107.08,18.69,27.15,22.91,39.31,19.63,Heavy_Rain,High,13,4,65.01,3.9440147329650093,0.7669154397134365,1,CRITICAL,Critical monitoring - Heavy rain risk
111.1,30.38,26.04,26.58,23.03,23.98,Rain,Medium,14,1,74.17,4.266513056835637,0.6453187362181686,0,HIGH,Increase trip monitoring
71.53,23.62,20.17,25.84,48.96,24.14,Heavy_Rain,Medium,17,4,82.41,3.546355974219137,0.7209721798863866,0,CRITICAL,Critical monitoring - Heavy rain risk
143.52,28.93,27.78,48.66,47.75,24.31,Clear,Medium,7,4,72.73,5.166306695464363,0.46833716211475235,1,MEDIUM,Monitor trip
101.0,34.41,25.28,37.34,34.56,28.27,Rain,Low,6,2,83.43,3.995253164556962,0.39054781048046106,0,MEDIUM,Monitor trip
77.61,18.85,17.07,39.69,23.29,29.22,Rain,Medium,17,7,89.17,4.5465729349736375,0.39926529765705465,0,MEDIUM,Monitor trip
92.1,39.34,23.83,50.65,49.46,22.11,Clear,Low,1,2,75.08,3.8648762064624425,0.26855638517856756,0,LOW,Normal operation
99.54,24.68,20.34,41.84,34.13,30.01,Clear,High,11,4,87.52,4.893805309734514,0.25733715069944,1,LOW,Normal operation
93.08,22.47,18.73,40.16,30.76,31.95,Rain,Medium,13,1,79.69,4.969567538707955,0.3175819671450063,0,MEDIUM,Monitor trip
75.03,19.43,20.49,38.55,37.23,24.35,Rain,High,11,0,86.43,3.6617862371888728,0.46038389557020803,0,MEDIUM,Monitor trip
79.01,25.55,21.11,47.48,25.63,12.29,Cloudy,Low,18,4,86.31,3.742775935575557,0.16686406221946704,0,LOW,Normal operation
135.24,38.69,29.96,55.21,15.55,35.16,Clear,Medium,13,1,83.57,4.514018691588785,0.254718415777301,0,LOW,Normal operation
33.94,37.55,13.89,35.3,28.35,29.01,Rain,Medium,13,2,71.14,2.4434845212383007,0.3289705637964984,0,MEDIUM,Monitor trip
87.14,16.83,15.24,60.0,26.21,18.81,Clear,Low,7,1,89.2,5.717847769028872,0.14132235207612817,0,LOW,Normal operation
107.94,35.8,30.16,59.92,27.76,26.2,Clear,Low,18,2,81.58,3.578912466843501,0.15482717266722273,0,LOW,Normal operation
76.59,35.51,16.38,34.85,17.16,17.05,Clear,High,18,4,83.96,4.675824175824176,0.3793278460967747,0,MEDIUM,Monitor trip
131.04,39.4,36.42,23.85,29.06,24.37,Rain,High,11,5,81.24,3.5980230642504116,0.7613029826779998,1,CRITICAL,Critical monitoring - High traffic
55.86,38.58,15.58,35.77,27.91,23.66,Clear,Medium,15,2,80.62,3.5853658536585367,0.21503940290816523,0,LOW,Normal operation
26.21,36.43,10.61,42.42,32.29,16.3,Clear,Medium,5,5,85.38,2.470311027332705,0.3373293485538847,0,MEDIUM,Monitor trip
68.52,35.95,20.71,41.86,37.0,16.72,Cloudy,Medium,3,3,81.26,3.3085465958474165,0.24713886487792483,0,LOW,Normal operation
53.32,29.4,14.79,59.64,37.11,22.52,Clear,High,13,6,75.12,3.605138607167005,0.378807223884094,1,MEDIUM,Monitor trip
143.76,17.84,24.99,51.56,32.83,24.05,Clear,Low,16,3,79.03,5.752701080432173,0.2172326030683506,1,LOW,Normal operation
40.86,19.58,11.61,55.77,35.03,24.47,Clear,Medium,12,1,86.9,3.5193798449612403,0.18405557085981872,0,LOW,Normal operation
90.14,36.99,22.87,51.21,42.39,26.65,Cloudy,Low,1,4,91.41,3.9414079580236114,0.2347994806440052,0,LOW,Normal operation
90.02,32.47,23.44,38.78,50.33,37.23,Clear,High,13,3,79.56,3.8404436860068256,0.3516685402445966,0,MEDIUM,Monitor trip
35.19,19.76,6.6,54.85,21.78,17.73,Clear,Low,18,3,91.63,5.331818181818182,0.1932133575704303,0,LOW,Normal operation
145.88,38.54,33.93,40.5,36.15,20.65,Rain,Low,17,3,87.08,4.299440023577954,0.32264911955324793,0,MEDIUM,Monitor trip
91.75,22.23,18.75,50.49,21.92,22.61,Clear,High,17,3,81.72,4.8933333333333335,0.27648508851536524,0,LOW,Normal operation
63.24,35.08,17.01,46.08,36.85,29.05,Cloudy,Medium,9,1,95.11,3.717813051146384,0.19395690334714605,0,LOW,Normal operation
59.53,32.37,17.18,46.54,29.33,28.6,Cloudy,Low,11,3,84.38,3.465075669383004,0.16154848798964125,0,LOW,Normal operation
37.34,35.29,13.83,41.43,45.74,29.4,Cloudy,Medium,19,1,65.77,2.6999276934201015,0.3804876401504511,1,MEDIUM,Monitor trip
20.44,31.49,12.6,28.8,37.6,30.45,Heavy_Rain,Low,2,4,80.84,1.6222222222222225,0.3835763533013041,1,MEDIUM,Monitor trip
41.38,19.45,13.66,29.19,34.53,31.13,Clear,High,5,3,87.1,3.0292825768667644,0.4012960158476152,0,MEDIUM,Monitor trip
120.93,36.21,35.39,33.3,31.77,23.92,Heavy_Rain,Low,9,3,73.5,3.4170669680700763,0.5916056789439639,1,HIGH,Increase trip monitoring
89.48,32.42,20.93,53.57,35.32,29.07,Clear,Low,13,0,78.86,4.275203057811754,0.1257682865468288,0,LOW,Normal operation
44.7,25.52,9.4,44.08,43.58,18.15,Cloudy,Medium,19,3,80.5,4.75531914893617,0.24123490588373855,0,LOW,Normal operation
137.88,24.51,26.32,51.04,28.3,22.79,Clear,Low,1,2,76.49,5.238601823708207,0.29762022766721763,1,LOW,Normal operation
101.19,33.59,22.78,39.59,39.33,31.99,Rain,Medium,16,1,76.3,4.442054433713784,0.38330402568787625,0,MEDIUM,Monitor trip
51.39,22.29,11.83,52.14,39.85,16.87,Clear,High,12,6,73.36,4.344040574809806,0.3393956664995182,0,MEDIUM,Monitor trip
95.05,36.3,24.06,44.67,32.09,27.52,Rain,Low,8,2,83.22,3.9505403158769745,0.19510108995677866,1,LOW,Normal operation
25.65,38.63,9.44,57.42,40.65,28.38,Clear,Low,14,4,85.12,2.7171610169491527,0.12572911118829908,0,LOW,Normal operation
126.76,34.38,30.14,47.13,28.1,27.97,Clear,Medium,6,1,88.56,4.205706702057067,0.28358476396854776,0,LOW,Normal operation
50.09,25.84,15.41,50.19,28.4,28.94,Cloudy,Low,11,2,77.29,3.250486696950033,0.15870495334144902,0,LOW,Normal operation
87.77,37.14,22.03,44.17,33.23,33.19,Clear,Low,4,0,80.15,3.98411257376305,0.1283449513536522,0,LOW,Normal operation
101.96,27.03,20.27,37.63,43.1,33.6,Cloudy,Medium,18,1,100.0,5.030093734583128,0.3503257622958508,1,MEDIUM,Monitor trip
42.13,29.28,12.55,41.28,37.18,33.2,Clear,Medium,18,6,80.58,3.3569721115537847,0.24473534714909728,0,LOW,Normal operation
88.03,22.14,21.45,34.53,33.96,29.4,Rain,Medium,4,3,80.1,4.103962703962704,0.40540378110311565,0,MEDIUM,Monitor trip
127.03,35.9,26.68,41.6,15.0,26.47,Clear,Medium,17,2,87.96,4.761244377811095,0.3219791271148838,1,MEDIUM,Monitor trip
32.67,23.58,9.47,38.94,35.05,35.36,Cloudy,Medium,4,0,76.55,3.4498416050686376,0.27787233633884545,0,LOW,Normal operation
133.99,35.39,31.76,25.06,57.01,21.69,Cloudy,High,2,1,83.28,4.218828715365239,0.7025293098090939,1,CRITICAL,Critical monitoring - High traffic
80.48,33.77,18.83,36.68,29.65,22.94,Cloudy,High,19,3,86.45,4.274030801911843,0.41265154882456284,0,MEDIUM,Monitor trip
84.43,26.07,20.55,36.21,31.99,21.57,Rain,Medium,17,2,85.52,4.108515815085158,0.3430665946600037,0,MEDIUM,Monitor trip
135.87,31.25,30.52,54.98,42.42,27.95,Cloudy,Low,11,4,77.47,4.451834862385321,0.24623327272960596,0,LOW,Normal operation
88.57,20.18,17.39,58.11,42.47,20.83,Clear,Low,19,5,75.58,5.093156986774008,0.28476254594978423,0,LOW,Normal operation
37.86,23.9,8.09,53.85,41.89,30.0,Clear,Medium,18,2,76.62,4.6798516687268235,0.19186007007513237,0,LOW,Normal operation
133.23,35.78,29.99,33.5,32.36,22.52,Heavy_Rain,Medium,9,4,92.41,4.442480826942314,0.7426256039885972,0,CRITICAL,Critical monitoring - Heavy rain risk
129.41,16.2,25.69,33.78,45.5,10.71,Clear,High,2,2,81.36,5.037368625924484,0.5965938997285531,1,HIGH,Increase trip monitoring
94.66,27.71,20.34,32.57,18.53,21.0,Rain,Low,7,2,88.82,4.653883972468043,0.32682232905796516,0,MEDIUM,Monitor trip
52.24,31.13,13.28,52.86,37.7,18.91,Clear,Medium,9,3,85.97,3.9337349397590367,0.19886052696647272,0,LOW,Normal operation
78.97,25.3,15.87,50.76,46.4,14.43,Rain,Medium,16,2,81.3,4.976055450535602,0.29626620441528784,0,LOW,Normal operation
113.43,25.24,25.45,38.44,27.62,23.41,Heavy_Rain,Medium,8,2,89.55,4.456974459724951,0.5254487762838831,0,HIGH,Increase trip monitoring
32.93,39.24,14.47,43.08,38.45,19.81,Clear,Low,7,3,100.0,2.2757429163787144,0.11187929048862136,0,LOW,Normal operation
87.25,20.92,16.6,47.26,33.69,25.78,Clear,Medium,8,3,74.18,5.256024096385541,0.2041448892177429,0,LOW,Normal operation
65.65,30.91,13.83,53.41,43.4,24.31,Clear,Low,11,3,92.87,4.746926970354303,0.1630123497426047,0,LOW,Normal operation
83.08,25.59,19.34,40.72,30.74,31.7,Heavy_Rain,Low,19,4,84.6,4.295760082730093,0.3946558815122238,0,MEDIUM,Monitor trip
70.36,22.77,19.61,25.9,43.92,25.81,Cloudy,Medium,19,4,89.47,3.5879653238143807,0.4059121012829958,0,MEDIUM,Monitor trip
47.69,18.6,11.88,51.53,42.29,23.95,Clear,Low,10,2,84.26,4.014309764309764,0.14792741830828218,0,LOW,Normal operation
42.14,31.34,16.58,41.17,31.04,31.94,Cloudy,Medium,7,5,91.17,2.5416164053076,0.28541045062887005,1,LOW,Normal operation
84.17,37.83,28.25,20.0,38.74,22.37,Heavy_Rain,High,1,5,77.35,2.9794690265486725,0.8175639375470857,1,CRITICAL,Critical monitoring - Heavy rain risk
113.23,23.59,28.96,27.91,48.63,27.26,Heavy_Rain,Low,14,2,83.46,3.909875690607735,0.7369643413001876,1,CRITICAL,Critical monitoring - Heavy rain risk
45.95,33.16,18.47,30.39,15.0,22.17,Rain,Medium,16,2,68.97,2.487818083378452,0.3822882598552692,1,MEDIUM,Monitor trip
60.79,33.92,17.57,51.49,43.5,21.3,Clear,Low,1,3,78.6,3.4598747865680135,0.1592696839611797,0,LOW,Normal operation
