Trip_ID,Truck_ID,Driver_ID,Date,Mine,Destination,Distance_km,Coal_Weight_Ton,Fuel_Used_Liters,Average_Speed_kmh,Loading_Time_Min,Unloading_Time_Min,Weather,Traffic_Level,Driver_Experience_Years,Previous_Delays,Safety_Score,Delay,Fuel_Efficiency_km_per_liter,Loading_Time_Group,Experience_Group
TRIP-04110,TRK-087,DRV-007,2026-01-01,Mine_A,Power_Plant_A,60.24,15.41,14.43,37.05,28.74,16.17,Cloudy,Medium,2,4,75.12,0,4.174636174636174,Under 30 min,1-3 years
TRIP-05245,TRK-012,DRV-131,2026-01-01,Mine_C,Railway_Yard_B,144.11,33.59,27.82,62.3,40.77,34.57,Clear,Low,4,5,85.76,1,5.180086268871316,40-50 min,4-7 years
TRIP-06523,TRK-099,DRV-148,2026-01-01,Mine_D,Power_Plant_B,35.37,39.17,17.11,47.63,40.66,23.97,Cloudy,Medium,3,5,79.53,0,2.0672121566335475,40-50 min,1-3 years
TRIP-04059,TRK-031,DRV-156,2026-01-01,Mine_D,Railway_Yard_B,116.85,16.9,23.1,49.91,37.79,27.95,Cloudy,Low,7,3,80.57,0,5.058441558441558,30-40 min,4-7 years
TRIP-03198,TRK-041,DRV-027,2026-01-01,Mine_A,Power_Plant_A,23.6,35.17,13.34,43.8,31.96,20.47,Clear,Medium,5,6,74.66,0,1.7691154422788606,30-40 min,4-7 years
TRIP-01617,TRK-086,DRV-113,2026-01-01,Mine_C,Railway_Yard_B,92.7,24.23,18.49,50.55,43.3,32.1,Rain,Medium,4,3,64.7,0,5.013520822065982,40-50 min,4-7 years
TRIP-03066,TRK-047,DRV-142,2026-01-01,Mine_B,Railway_Yard_B,39.79,20.98,14.53,36.9,24.59,27.07,Clear,High,10,3,92.32,0,2.7384721266345493,Under 30 min,8-12 years
TRIP-02173,TRK-023,DRV-163,2026-01-01,Mine_A,Power_Plant_A,122.24,23.36,23.32,47.76,29.57,23.7,Cloudy,Medium,11,4,80.39,1,5.241852487135506,Under 30 min,8-12 years
TRIP-02183,TRK-010,DRV-072,2026-01-01,Mine_C,Power_Plant_A,98.71,29.33,23.55,48.83,35.24,21.74,Clear,Medium,12,5,80.97,0,4.191507430997876,30-40 min,8-12 years
TRIP-02568,TRK-005,DRV-007,2026-01-01,Mine_D,Power_Plant_A,50.86,31.17,14.87,24.15,35.08,25.4,Cloudy,High,13,3,80.91,1,3.4203093476798925,30-40 min,13-20 years
TRIP-04932,TRK-040,DRV-188,2026-01-01,Mine_C,Railway_Yard_A,35.22,32.43,13.11,44.38,31.12,19.91,Rain,Low,6,2,69.04,1,2.6864988558352403,30-40 min,4-7 years
TRIP-04722,TRK-094,DRV-113,2026-01-01,Mine_A,Railway_Yard_A,86.57,39.01,23.68,43.29,24.33,22.64,Clear,High,13,3,83.46,0,3.6558277027027026,Under 30 min,13-20 years
TRIP-07076,TRK-055,DRV-172,2026-01-01,Mine_B,Power_Plant_B,53.98,21.95,17.13,34.3,33.12,26.54,Clear,High,6,2,92.68,0,3.1511967308814945,30-40 min,4-7 years
TRIP-01711,TRK-020,DRV-131,2026-01-01,Mine_A,Power_Plant_A,110.8,20.39,21.22,46.51,25.72,23.85,Cloudy,Low,5,1,76.62,1,5.221489161168709,Under 30 min,4-7 years
TRIP-07417,TRK-079,DRV-075,2026-01-02,Mine_C,Railway_Yard_A,57.28,33.61,16.85,60.74,38.27,26.91,Clear,Low,8,3,100.0,0,3.399406528189911,30-40 min,8-12 years
TRIP-04976,TRK-068,DRV-011,2026-01-02,Mine_D,Railway_Yard_A,57.76,23.04,15.63,37.77,26.24,21.54,Rain,Low,12,5,79.39,0,3.695457453614843,Under 30 min,8-12 years
TRIP-00876,TRK-038,DRV-158,2026-01-02,Mine_B,Power_Plant_B,111.26,23.25,24.68,49.61,40.88,23.51,Clear,Low,7,3,92.11,1,4.508103727714749,40-50 min,4-7 years
TRIP-04978,TRK-060,DRV-002,2026-01-02,Mine_D,Railway_Yard_A,109.67,31.42,23.34,50.92,37.92,24.39,Clear,Medium,5,3,77.28,1,4.6988003427592115,30-40 min,4-7 years
TRIP-08600,TRK-035,DRV-143,2026-01-02,Mine_A,Railway_Yard_B,133.14,37.34,28.74,35.76,33.54,26.14,Rain,High,13,3,75.47,1,4.632567849686847,30-40 min,13-20 years
TRIP-02462,TRK-049,DRV-055,2026-01-02,Mine_C,Power_Plant_B,147.4,21.45,28.5,48.0,46.3,25.53,Clear,Medium,4,2,100.0,0,5.171929824561404,40-50 min,4-7 years
TRIP-07821,TRK-012,DRV-083,2026-01-02,Mine_D,Power_Plant_A,71.07,30.88,17.9,48.93,40.74,19.95,Rain,Low,7,2,85.11,0,3.970391061452514,40-50 min,4-7 years
TRIP-09362,TRK-094,DRV-136,2026-01-02,Mine_B,Railway_Yard_B,136.39,28.44,30.45,35.8,33.42,20.59,Heavy_Rain,Low,1,2,80.75,0,4.479146141215106,30-40 min,1-3 years
TRIP-04930,TRK-058,DRV-119,2026-01-02,Mine_A,Power_Plant_A,114.23,18.92,21.66,43.84,40.37,24.33,Clear,High,20,1,87.33,1,5.273776546629732,40-50 min,13-20 years
TRIP-00473,TRK-017,DRV-115,2026-01-02,Mine_A,Power_Plant_A,129.67,22.63,25.46,51.04,51.32,28.16,Cloudy,Medium,12,5,79.56,0,5.093087195600942,Over 50 min,8-12 years
TRIP-07202,TRK-017,DRV-115,2026-01-02,Mine_B,Power_Plant_B,132.02,29.27,27.6,31.39,42.7,28.61,Rain,Low,8,7,79.39,1,4.783333333333333,40-50 min,8-12 years
TRIP-01200,TRK-005,DRV-083,2026-01-02,Mine_D,Power_Plant_B,107.76,21.72,21.78,46.31,34.64,29.5,Cloudy,Medium,6,6,83.55,0,4.9476584022038566,30-40 min,4-7 years
TRIP-00887,TRK-056,DRV-125,2026-01-02,Mine_A,Power_Plant_B,36.47,24.95,18.52,31.89,32.51,25.09,Heavy_Rain,Medium,17,4,90.76,1,1.9692224622030237,30-40 min,13-20 years
TRIP-00291,TRK-001,DRV-141,2026-01-02,Mine_A,Railway_Yard_B,21.87,17.29,6.55,47.44,40.51,21.94,Clear,Medium,4,2,95.77,0,3.338931297709924,40-50 min,4-7 years
TRIP-01291,TRK-054,DRV-199,2026-01-02,Mine_A,Railway_Yard_B,132.07,19.3,24.33,55.04,30.74,25.19,Clear,Low,5,0,74.05,0,5.428277846280312,30-40 min,4-7 years
TRIP-02962,TRK-098,DRV-114,2026-01-02,Mine_C,Railway_Yard_B,26.66,27.17,13.4,33.88,33.09,14.28,Rain,Low,6,4,97.46,1,1.98955223880597,30-40 min,4-7 years
TRIP-06488,TRK-054,DRV-112,2026-01-02,Mine_A,Power_Plant_A,62.15,17.02,13.64,40.86,44.37,22.06,Rain,High,15,3,87.22,1,4.556451612903225,40-50 min,13-20 years
TRIP-03294,TRK-003,DRV-060,2026-01-02,Mine_A,Power_Plant_B,78.32,19.88,17.74,27.75,46.24,24.06,Cloudy,High,1,3,76.44,0,4.414881623449831,40-50 min,1-3 years
TRIP-04062,TRK-082,DRV-076,2026-01-02,Mine_C,Power_Plant_A,120.12,21.68,23.45,44.27,24.19,22.56,Cloudy,Low,8,1,73.25,0,5.122388059701493,Under 30 min,8-12 years
TRIP-09963,TRK-077,DRV-196,2026-01-02,Mine_D,Power_Plant_B,63.8,24.68,16.64,43.52,28.04,27.46,Clear,Low,1,3,85.03,0,3.834134615384615,Under 30 min,1-3 years
TRIP-00442,TRK-063,DRV-026,2026-01-02,Mine_B,Power_Plant_B,122.26,23.66,30.33,20.0,44.16,20.42,Heavy_Rain,Medium,19,4,84.29,1,4.030992416749093,40-50 min,13-20 years
TRIP-02893,TRK-085,DRV-066,2026-01-02,Mine_B,Railway_Yard_B,123.94,21.3,32.17,22.52,37.15,26.64,Heavy_Rain,High,4,4,88.5,1,3.852657755672987,30-40 min,4-7 years
TRIP-02883,TRK-018,DRV-059,2026-01-02,Mine_B,Power_Plant_A,33.97,31.2,14.71,47.25,37.67,25.14,Clear,Medium,12,2,73.81,1,2.3093133922501696,30-40 min,8-12 years
TRIP-09737,TRK-026,DRV-112,2026-01-02,Mine_C,Railway_Yard_A,82.34,20.99,21.14,30.4,40.96,16.54,Cloudy,High,4,3,79.39,1,3.8949858088930935,40-50 min,4-7 years
TRIP-04344,TRK-078,DRV-135,2026-01-02,Mine_D,Power_Plant_A,55.35,28.71,17.02,42.0,21.03,22.71,Clear,Medium,17,4,81.47,0,3.2520564042303173,Under 30 min,13-20 years
TRIP-08390,TRK-068,DRV-160,2026-01-03,Mine_D,Railway_Yard_A,93.74,28.51,21.86,43.81,31.29,13.11,Cloudy,Medium,10,3,90.57,0,4.288197621225984,30-40 min,8-12 years
TRIP-05972,TRK-017,DRV-051,2026-01-03,Mine_D,Power_Plant_A,61.85,31.19,17.05,46.27,30.71,22.3,Clear,Medium,7,2,81.25,0,3.627565982404692,30-40 min,4-7 years
TRIP-08363,TRK-017,DRV-181,2026-01-03,Mine_A,Power_Plant_B,65.27,37.5,22.22,25.22,41.48,21.35,Heavy_Rain,Medium,14,2,64.74,0,2.9374437443744372,40-50 min,13-20 years
TRIP-06599,TRK-092,DRV-014,2026-01-03,Mine_B,Power_Plant_A,125.48,37.04,30.46,48.45,36.96,19.77,Clear,Medium,3,7,78.5,1,4.119500984898227,30-40 min,1-3 years
TRIP-06089,TRK-004,DRV-058,2026-01-03,Mine_D,Railway_Yard_A,43.37,36.52,18.24,35.02,37.23,27.38,Cloudy,High,5,4,69.87,1,2.3777412280701755,30-40 min,4-7 years
TRIP-08255,TRK-068,DRV-169,2026-01-03,Mine_A,Railway_Yard_A,24.14,33.66,15.52,51.78,20.96,29.05,Cloudy,Low,9,0,77.78,0,1.5554123711340206,Under 30 min,8-12 years
TRIP-00296,TRK-032,DRV-121,2026-01-03,Mine_D,Power_Plant_B,140.49,21.88,26.28,57.47,24.56,31.33,Clear,Medium,6,3,92.63,0,5.345890410958904,Under 30 min,4-7 years
TRIP-01561,TRK-070,DRV-104,2026-01-03,Mine_C,Power_Plant_B,26.38,36.36,10.23,43.24,39.92,32.3,Rain,Low,7,3,63.38,1,2.578690127077224,30-40 min,4-7 years
TRIP-04142,TRK-028,DRV-100,2026-01-03,Mine_D,Railway_Yard_A,109.83,17.96,23.2,38.35,30.04,28.46,Clear,High,2,1,80.74,1,4.734051724137931,30-40 min,1-3 years
TRIP-06454,TRK-068,DRV-167,2026-01-03,Mine_B,Power_Plant_A,126.67,26.18,28.67,20.0,35.96,26.04,Rain,High,10,1,79.73,1,4.418207185211021,30-40 min,8-12 years
TRIP-02971,TRK-013,DRV-050,2026-01-03,Mine_A,Power_Plant_B,107.83,37.16,26.06,70.0,21.92,15.59,Clear,Low,5,6,83.66,0,4.1377590176515735,Under 30 min,4-7 years
TRIP-05466,TRK-084,DRV-179,2026-01-03,Mine_C,Railway_Yard_B,74.63,37.6,19.31,55.72,36.91,27.35,Clear,Low,3,2,82.01,0,3.8648368720870017,30-40 min,1-3 years
TRIP-00003,TRK-015,DRV-181,2026-01-03,Mine_C,Power_Plant_B,40.63,16.45,7.83,45.29,50.64,25.15,Clear,Medium,2,3,75.89,0,5.189016602809707,Over 50 min,1-3 years
TRIP-04022,TRK-021,DRV-087,2026-01-03,Mine_D,Power_Plant_A,29.25,36.25,13.49,44.59,28.5,22.92,Rain,Low,6,6,70.96,1,2.168272794662713,Under 30 min,4-7 years
TRIP-04975,TRK-001,DRV-129,2026-01-03,Mine_A,Railway_Yard_A,112.25,36.79,24.05,57.43,37.07,17.95,Cloudy,Low,20,0,75.42,0,4.667359667359667,30-40 min,13-20 years
TRIP-06027,TRK-035,DRV-025,2026-01-03,Mine_D,Railway_Yard_B,22.14,19.86,7.67,56.76,34.94,30.11,Clear,Low,1,1,93.88,0,2.8865710560625817,30-40 min,1-3 years
TRIP-06755,TRK-027,DRV-175,2026-01-03,Mine_D,Railway_Yard_B,29.52,27.78,8.94,51.77,45.87,21.59,Cloudy,Low,16,3,90.94,1,3.302013422818792,40-50 min,13-20 years
TRIP-02331,TRK-035,DRV-180,2026-01-03,Mine_A,Power_Plant_B,36.71,28.3,10.69,49.67,50.68,18.39,Cloudy,Low,15,4,79.1,0,3.4340505144995324,Over 50 min,13-20 years
TRIP-06777,TRK-059,DRV-189,2026-01-03,Mine_C,Railway_Yard_B,108.85,32.86,28.6,29.08,31.67,22.36,Heavy_Rain,Medium,7,2,88.26,1,3.8059440559440554,30-40 min,4-7 years
TRIP-04343,TRK-082,DRV-053,2026-01-03,Mine_B,Power_Plant_A,129.3,37.45,31.04,55.71,37.19,32.59,Cloudy,Medium,4,2,80.9,1,4.165592783505155,30-40 min,4-7 years
TRIP-06196,TRK-007,DRV-088,2026-01-03,Mine_C,Power_Plant_B,91.58,32.07,18.19,43.37,45.19,27.64,Clear,Medium,20,5,85.8,0,5.0346344145134685,40-50 min,13-20 years
TRIP-08043,TRK-090,DRV-172,2026-01-03,Mine_D,Power_Plant_A,32.29,30.61,10.88,46.99,46.47,36.08,Clear,Medium,11,1,74.82,0,2.9678308823529407,40-50 min,8-12 years
TRIP-00188,TRK-075,DRV-075,2026-01-03,Mine_C,Power_Plant_B,100.91,29.66,20.83,41.01,23.74,25.8,Rain,Low,14,4,81.56,1,4.844455112818051,Under 30 min,13-20 years
TRIP-02096,TRK-093,DRV-107,2026-01-03,Mine_D,Power_Plant_B,27.46,26.07,12.59,36.27,43.63,26.15,Cloudy,Medium,15,2,78.89,0,2.1810961080222397,40-50 min,13-20 years
TRIP-06885,TRK-043,DRV-061,2026-01-03,Mine_D,Railway_Yard_B,23.03,29.68,12.16,37.98,41.83,28.64,Cloudy,High,12,3,84.39,0,1.8939144736842106,40-50 min,8-12 years
TRIP-04627,TRK-052,DRV-100,2026-01-03,Mine_A,Railway_Yard_B,85.91,27.32,23.71,28.79,39.33,19.41,Heavy_Rain,Low,7,1,89.34,0,3.623365668494306,30-40 min,4-7 years
TRIP-01643,TRK-016,DRV-059,2026-01-03,Mine_D,Railway_Yard_B,147.33,18.07,25.27,40.74,38.64,24.85,Cloudy,Medium,10,3,74.97,1,5.830233478432925,30-40 min,8-12 years
TRIP-05555,TRK-062,DRV-184,2026-01-04,Mine_C,Railway_Yard_B,42.4,15.9,11.06,41.48,44.42,26.54,Rain,Medium,1,5,77.96,1,3.833634719710669,40-50 min,1-3 years
TRIP-09450,TRK-018,DRV-097,2026-01-04,Mine_D,Railway_Yard_B,64.31,19.86,12.92,46.23,47.86,32.26,Cloudy,Low,14,1,76.04,0,4.977554179566564,40-50 min,13-20 years
TRIP-05379,TRK-063,DRV-016,2026-01-04,Mine_A,Power_Plant_B,88.59,20.96,19.77,51.84,15.0,26.03,Clear,Low,13,1,65.87,0,4.48103186646434,Under 30 min,13-20 years
TRIP-01470,TRK-057,DRV-126,2026-01-04,Mine_C,Railway_Yard_B,90.57,21.78,20.28,59.11,42.3,22.45,Clear,Low,9,2,85.08,0,4.465976331360946,40-50 min,8-12 years
TRIP-04981,TRK-023,DRV-016,2026-01-04,Mine_C,Railway_Yard_A,115.9,28.19,26.29,48.65,36.99,23.57,Cloudy,Low,8,2,78.69,0,4.408520349942944,30-40 min,8-12 years
TRIP-01855,TRK-012,DRV-068,2026-01-04,Mine_A,Power_Plant_B,102.44,32.27,28.71,21.1,46.47,19.56,Heavy_Rain,Medium,9,2,81.47,1,3.5680947405085335,40-50 min,8-12 years
TRIP-00786,TRK-056,DRV-145,2026-01-04,Mine_A,Power_Plant_B,65.66,33.57,16.92,61.32,45.4,27.35,Clear,Medium,20,3,75.81,0,3.880614657210401,40-50 min,13-20 years
TRIP-04135,TRK-083,DRV-176,2026-01-04,Mine_B,Power_Plant_B,70.7,15.47,16.12,40.59,36.66,31.51,Rain,Medium,4,7,71.82,0,4.3858560794044665,30-40 min,4-7 years
TRIP-06098,TRK-073,DRV-069,2026-01-04,Mine_D,Railway_Yard_A,51.1,21.34,14.14,36.87,32.87,20.37,Cloudy,Medium,5,3,72.84,0,3.613861386138614,30-40 min,4-7 years
TRIP-03039,TRK-031,DRV-142,2026-01-04,Mine_B,Railway_Yard_A,131.09,29.5,28.52,40.77,52.09,24.6,Rain,Low,15,2,88.82,0,4.596423562412342,Over 50 min,13-20 years
TRIP-08965,TRK-036,DRV-175,2026-01-04,Mine_D,Railway_Yard_B,29.92,17.94,6.71,60.19,44.33,23.98,Cloudy,Low,16,3,81.75,0,4.4590163934426235,40-50 min,13-20 years
TRIP-04436,TRK-009,DRV-012,2026-01-04,Mine_D,Railway_Yard_B,51.08,18.1,18.06,30.92,25.12,26.91,Rain,Medium,11,0,70.18,0,2.8283499446290143,Under 30 min,8-12 years
TRIP-04543,TRK-057,DRV-069,2026-01-04,Mine_A,Railway_Yard_B,23.36,39.01,14.38,50.7,37.21,28.18,Cloudy,Low,9,3,88.02,0,1.6244784422809457,30-40 min,8-12 years
TRIP-01533,TRK-035,DRV-171,2026-01-04,Mine_A,Railway_Yard_A,34.14,18.76,12.26,55.12,48.13,31.34,Clear,Medium,11,7,85.06,1,2.7846655791190864,40-50 min,8-12 years
TRIP-02566,TRK-023,DRV-155,2026-01-04,Mine_B,Power_Plant_B,43.44,30.98,10.04,39.78,43.59,24.93,Cloudy,Low,11,2,80.62,0,4.326693227091633,40-50 min,8-12 years
TRIP-07586,TRK-034,DRV-011,2026-01-04,Mine_D,Power_Plant_A,106.23,36.29,31.84,34.24,51.39,16.52,Rain,High,7,6,77.59,1,3.3363693467336684,Over 50 min,4-7 years
TRIP-00357,TRK-097,DRV-170,2026-01-04,Mine_C,Railway_Yard_A,110.74,36.8,27.3,43.75,27.06,20.34,Clear,Medium,10,4,88.25,0,4.056410256410256,Under 30 min,8-12 years
TRIP-03857,TRK-091,DRV-046,2026-01-04,Mine_C,Railway_Yard_B,107.17,17.83,23.77,39.25,34.07,26.96,Rain,High,5,2,79.46,1,4.508624316365166,30-40 min,4-7 years
TRIP-00163,TRK-004,DRV-185,2026-01-04,Mine_D,Railway_Yard_B,88.96,28.28,20.18,63.45,33.16,27.32,Clear,Low,15,1,74.45,0,4.408325074331021,30-40 min,13-20 years
TRIP-04509,TRK-091,DRV-127,2026-01-04,Mine_B,Power_Plant_A,26.93,33.97,11.68,38.75,43.81,24.82,Cloudy,High,10,2,68.82,0,2.305650684931507,40-50 min,8-12 years
TRIP-08932,TRK-049,DRV-009,2026-01-04,Mine_C,Railway_Yard_A,40.5,30.93,12.1,46.43,28.13,19.78,Clear,Medium,8,2,82.28,0,3.347107438016529,Under 30 min,8-12 years
TRIP-08138,TRK-036,DRV-091,2026-01-04,Mine_D,Railway_Yard_A,133.4,25.94,28.02,48.91,27.29,29.75,Clear,Medium,4,4,84.79,0,4.760885082084226,Under 30 min,4-7 years
TRIP-03622,TRK-077,DRV-033,2026-01-04,Mine_A,Power_Plant_B,121.36,38.77,29.2,20.0,38.76,31.17,Heavy_Rain,High,13,1,77.71,1,4.156164383561644,30-40 min,13-20 years
TRIP-09846,TRK-046,DRV-162,2026-01-04,Mine_D,Railway_Yard_A,58.26,27.52,15.95,49.26,36.28,20.4,Clear,Medium,8,1,78.35,0,3.6526645768025077,30-40 min,8-12 years
TRIP-07435,TRK-052,DRV-030,2026-01-04,Mine_D,Power_Plant_B,119.0,22.82,25.82,39.28,36.86,29.62,Rain,Medium,19,3,89.11,1,4.6088303640588695,30-40 min,13-20 years
TRIP-04869,TRK-041,DRV-082,2026-01-04,Mine_D,Railway_Yard_B,77.65,26.21,20.09,39.16,41.52,30.01,Rain,Medium,1,3,78.35,1,3.8651070184171235,40-50 min,1-3 years
TRIP-02041,TRK-041,DRV-143,2026-01-04,Mine_C,Railway_Yard_B,60.79,33.92,17.57,51.49,43.5,21.3,Clear,Low,1,3,78.6,0,3.4598747865680135,40-50 min,1-3 years
TRIP-03120,TRK-030,DRV-092,2026-01-04,Mine_C,Power_Plant_A,78.84,29.46,18.32,41.9,25.66,18.54,Cloudy,Medium,13,2,75.89,0,4.3034934497816595,Under 30 min,13-20 years
TRIP-00798,TRK-089,DRV-054,2026-01-04,Mine_D,Railway_Yard_B,75.08,20.59,16.59,50.94,41.91,31.01,Clear,Low,18,4,88.77,0,4.5256178420735385,40-50 min,13-20 years
TRIP-03579,TRK-099,DRV-028,2026-01-05,Mine_B,Railway_Yard_B,36.58,16.82,9.1,31.34,26.33,28.63,Cloudy,High,11,2,90.15,1,4.01978021978022,Under 30 min,8-12 years
TRIP-08062,TRK-015,DRV-129,2026-01-05,Mine_D,Railway_Yard_A,34.58,34.7,13.95,50.78,51.5,28.93,Clear,Low,18,4,71.34,0,2.478853046594982,Over 50 min,13-20 years
TRIP-08949,TRK-035,DRV-146,2026-01-05,Mine_D,Power_Plant_A,24.03,19.56,10.0,34.81,37.26,23.32,Cloudy,High,6,4,79.58,1,2.403,30-40 min,4-7 years
TRIP-04079,TRK-050,DRV-020,2026-01-05,Mine_A,Power_Plant_A,92.65,19.39,20.37,46.24,42.21,23.76,Rain,Low,18,4,88.46,1,4.548355424644084,40-50 min,13-20 years
TRIP-01628,TRK-034,DRV-181,2026-01-05,Mine_D,Railway_Yard_A,120.39,34.63,27.97,40.59,42.01,27.94,Rain,Medium,3,1,80.64,1,4.304254558455488,40-50 min,1-3 years
TRIP-05680,TRK-020,DRV-031,2026-01-05,Mine_C,Railway_Yard_A,132.59,24.14,26.27,35.01,25.31,22.83,Rain,Medium,16,2,83.67,1,5.047202131709174,Under 30 min,13-20 years
TRIP-05315,TRK-012,DRV-092,2026-01-05,Mine_A,Power_Plant_B,121.53,28.98,30.45,28.09,24.45,27.56,Heavy_Rain,High,7,1,91.79,1,3.9911330049261085,Under 30 min,4-7 years
TRIP-05267,TRK-007,DRV-196,2026-01-05,Mine_A,Railway_Yard_B,54.31,19.22,17.14,43.73,36.09,18.38,Heavy_Rain,Low,12,2,79.99,0,3.1686114352392067,30-40 min,8-12 years
TRIP-06877,TRK-043,DRV-073,2026-01-05,Mine_B,Railway_Yard_A,76.63,35.84,19.07,52.03,37.46,25.23,Clear,Low,11,2,67.78,0,4.018353434714211,30-40 min,8-12 years
TRIP-06806,TRK-045,DRV-097,2026-01-05,Mine_A,Power_Plant_A,39.48,35.02,12.59,54.19,45.54,22.52,Clear,Medium,1,4,64.76,0,3.1358220810166797,40-50 min,1-3 years
TRIP-00604,TRK-012,DRV-039,2026-01-05,Mine_C,Railway_Yard_A,126.28,24.34,25.19,59.2,32.43,22.37,Clear,Low,19,4,83.69,0,5.013100436681222,30-40 min,13-20 years
TRIP-02995,TRK-010,DRV-044,2026-01-05,Mine_C,Railway_Yard_B,31.16,29.62,17.51,33.25,39.06,24.14,Heavy_Rain,Low,12,3,76.7,0,1.7795545402627069,30-40 min,8-12 years
TRIP-07129,TRK-013,DRV-163,2026-01-05,Mine_B,Power_Plant_B,36.9,16.64,9.1,45.85,44.71,21.8,Cloudy,Low,5,4,84.08,0,4.054945054945055,40-50 min,4-7 years
TRIP-06108,TRK-004,DRV-077,2026-01-05,Mine_A,Power_Plant_A,43.53,27.58,12.84,49.21,34.38,24.25,Cloudy,Medium,9,2,75.37,0,3.3901869158878504,30-40 min,8-12 years
TRIP-07294,TRK-079,DRV-033,2026-01-05,Mine_C,Power_Plant_A,63.9,34.35,16.45,55.28,43.16,34.11,Cloudy,Low,1,3,66.4,1,3.884498480243161,40-50 min,1-3 years
TRIP-04961,TRK-085,DRV-159,2026-01-05,Mine_D,Railway_Yard_B,25.34,27.47,9.2,51.68,26.09,17.0,Cloudy,Medium,6,4,78.51,0,2.7543478260869567,Under 30 min,4-7 years
TRIP-04997,TRK-058,DRV-060,2026-01-05,Mine_C,Power_Plant_A,106.28,38.1,23.09,51.38,35.24,29.19,Clear,Low,7,2,78.02,0,4.602858380251191,30-40 min,4-7 years
TRIP-01625,TRK-055,DRV-181,2026-01-06,Mine_A,Railway_Yard_A,46.85,26.23,13.99,45.57,36.86,27.71,Clear,High,12,2,82.66,1,3.3488205861329523,30-40 min,8-12 years
TRIP-07908,TRK-093,DRV-064,2026-01-06,Mine_D,Power_Plant_B,100.91,39.35,26.21,58.72,47.06,24.98,Clear,Low,5,0,84.22,1,3.8500572300648606,40-50 min,4-7 years
TRIP-00075,TRK-054,DRV-113,2026-01-06,Mine_C,Railway_Yard_B,32.67,23.58,9.47,38.94,35.05,35.36,Cloudy,Medium,4,0,76.55,0,3.4498416050686376,30-40 min,4-7 years
TRIP-02255,TRK-086,DRV-061,2026-01-06,Mine_B,Power_Plant_A,86.79,25.37,16.16,48.43,39.67,20.71,Clear,Medium,1,2,68.05,1,5.370668316831684,30-40 min,1-3 years
TRIP-01217,TRK-074,DRV-125,2026-01-06,Mine_D,Power_Plant_A,78.33,32.51,21.34,51.06,35.3,27.29,Clear,Low,10,2,87.31,0,3.670571696344892,30-40 min,8-12 years
TRIP-05201,TRK-071,DRV-145,2026-01-06,Mine_D,Power_Plant_B,31.33,39.67,18.75,30.62,35.12,25.97,Rain,Low,10,5,93.17,1,1.6709333333333332,30-40 min,8-12 years
TRIP-04607,TRK-081,DRV-029,2026-01-06,Mine_C,Railway_Yard_A,46.9,23.14,15.45,34.13,38.39,30.85,Rain,Low,15,1,82.39,0,3.0355987055016183,30-40 min,13-20 years
