Trip_ID,Truck_ID,Driver_ID,Date,Mine,Destination,Distance_km,Coal_Weight_Ton,Fuel_Used_Liters,Average_Speed_kmh,Loading_Time_Min,Unloading_Time_Min,Weather,Traffic_Level,Driver_Experience_Years,Previous_Delays,Safety_Score,Delay
TRIP-00032,TRK-042,DRV-065,2026-01-24,Mine_B,Power_Plant_A,25.29,32.52,10.52,62.79,50.49,11.97,Rain,Medium,13,2,83.73,0
TRIP-00026,TRK-012,DRV-037,2026-01-25,Mine_C,Power_Plant_B,52.21,17.93,11.97,59.59,30.07,36.94,Heavy_Rain,Medium,19,2,91.35,1
TRIP-00049,TRK-009,DRV-063,2026-01-26,Mine_D,Power_Plant_B,105.63,25.61,24.11,47.08,25.32,31.48,Cloudy,Medium,2,7,76.13,0
TRIP-00034,TRK-016,DRV-047,2026-02-01,Mine_A,Railway_Yard_B,111.48,35.55,30.72,34.89,29.03,23.6,Cloudy,High,13,8,79.17,1
TRIP-00070,TRK-029,DRV-057,2026-02-01,Mine_D,Railway_Yard_B,108.79,37.28,25.29,49.88,40.43,36.89,Clear,Low,2,7,86.2,0
TRIP-00003,TRK-015,DRV-001,2026-02-04,Mine_A,Power_Plant_A,87.12,24.73,20.76,61.44,22.39,16.74,Clear,Low,8,0,72.88,0
TRIP-00058,TRK-047,DRV-029,2026-02-05,Mine_D,Railway_Yard_B,103.63,31.23,24.65,33.52,55.88,15.36,Cloudy,Medium,9,8,85.15,1
TRIP-00013,TRK-036,DRV-005,2026-02-06,Mine_B,Power_Plant_A,73.16,22.33,17.69,40.06,35.82,10.39,Clear,Medium,17,10,83.79,0
TRIP-00047,TRK-014,DRV-077,2026-02-08,Mine_C,Railway_Yard_B,85.41,34.43,21.18,45.81,50.88,10.76,Clear,High,18,2,79.73,1
TRIP-00045,TRK-004,DRV-090,2026-02-12,Mine_C,Power_Plant_A,68.7,24.41,20.32,45.81,20.74,29.32,Rain,Low,11,3,73.29,0
TRIP-00008,TRK-019,DRV-081,2026-02-15,Mine_B,Power_Plant_A,30.2,38.75,15.55,41.73,54.47,22.57,Clear,Medium,5,10,61.65,0
TRIP-00016,TRK-003,DRV-007,2026-02-15,Mine_A,Railway_Yard_A,52.53,33.81,13.3,31.02,37.62,38.83,Rain,Medium,13,0,71.95,0
TRIP-00097,TRK-045,DRV-024,2026-02-16,Mine_C,Power_Plant_A,33.41,32.45,16.46,31.76,39.18,22.76,Heavy_Rain,Medium,15,0,60.36,1
TRIP-00004,TRK-043,DRV-008,2026-02-18,Mine_D,Railway_Yard_B,61.98,15.27,12.58,57.9,51.66,23.57,Rain,Medium,5,2,99.1,0
TRIP-00080,TRK-015,DRV-089,2026-02-18,Mine_A,Power_Plant_B,134.07,30.69,31.9,38.15,56.65,20.25,Rain,Medium,17,7,84.07,0
TRIP-00051,TRK-002,DRV-052,2026-02-19,Mine_D,Power_Plant_B,29.17,17.78,8.51,60.07,47.4,10.81,Cloudy,Low,13,2,76.74,1
TRIP-00072,TRK-026,DRV-028,2026-02-20,Mine_B,Railway_Yard_B,61.47,39.82,21.12,62.98,56.51,12.57,Clear,Medium,5,1,71.35,0
TRIP-00088,TRK-018,DRV-070,2026-02-22,Mine_C,Railway_Yard_A,73.64,30.5,23.76,50.63,38.35,23.08,Heavy_Rain,Medium,4,5,76.2,1
TRIP-00027,TRK-022,DRV-099,2026-02-23,Mine_A,Railway_Yard_B,66.28,18.57,13.36,57.52,21.27,16.15,Clear,High,16,10,79.24,0
TRIP-00085,TRK-021,DRV-062,2026-02-23,Mine_B,Power_Plant_B,117.58,38.76,32.53,30.12,20.61,28.72,Heavy_Rain,Low,14,8,62.77,1
TRIP-00099,TRK-025,DRV-059,2026-02-24,Mine_D,Power_Plant_A,85.68,22.74,21.78,32.08,30.59,18.06,Rain,Low,11,8,83.95,1
TRIP-00057,TRK-008,DRV-043,2026-02-26,Mine_D,Power_Plant_A,70.46,17.94,16.69,53.16,23.17,34.0,Rain,High,17,3,93.85,1
TRIP-00028,TRK-044,DRV-044,2026-02-27,Mine_D,Power_Plant_A,118.52,34.04,30.25,64.99,50.73,15.72,Clear,Medium,8,0,61.63,0
TRIP-00077,TRK-014,DRV-062,2026-02-27,Mine_D,Railway_Yard_A,35.36,30.73,13.92,43.37,34.09,22.64,Rain,High,4,0,69.43,0
TRIP-00078,TRK-031,DRV-075,2026-02-27,Mine_C,Power_Plant_B,110.58,32.39,25.58,64.2,48.14,36.78,Cloudy,Low,17,5,91.04,0
TRIP-00089,TRK-047,DRV-072,2026-03-01,Mine_D,Power_Plant_B,68.36,21.93,12.84,32.28,41.61,18.83,Clear,Low,3,5,83.72,0
TRIP-00055,TRK-007,DRV-023,2026-03-01,Mine_C,Power_Plant_A,142.23,16.41,30.24,55.21,26.33,10.59,Clear,Medium,13,0,98.43,0
TRIP-00074,TRK-034,DRV-044,2026-03-04,Mine_C,Railway_Yard_A,23.03,28.85,9.55,62.06,21.86,10.8,Cloudy,High,20,5,75.35,1
TRIP-00061,TRK-017,DRV-032,2026-03-06,Mine_D,Power_Plant_A,142.39,39.05,36.39,39.02,35.79,12.98,Clear,High,2,5,80.19,1
TRIP-00069,TRK-004,DRV-062,2026-03-07,Mine_C,Power_Plant_A,32.28,16.08,8.3,40.86,56.95,18.79,Heavy_Rain,Low,9,0,91.72,1
TRIP-00029,TRK-025,DRV-086,2026-03-08,Mine_A,Railway_Yard_B,21.87,30.46,10.04,64.87,42.9,11.1,Cloudy,Medium,1,9,66.56,0
TRIP-00023,TRK-002,DRV-023,2026-03-08,Mine_B,Railway_Yard_A,92.07,26.04,29.24,41.59,20.26,12.01,Cloudy,High,13,2,86.43,1
TRIP-00083,TRK-023,DRV-001,2026-03-11,Mine_D,Power_Plant_A,56.66,16.14,16.25,28.03,59.32,27.71,Clear,High,18,2,80.5,1
TRIP-00071,TRK-018,DRV-006,2026-03-27,Mine_C,Power_Plant_A,29.25,28.19,9.06,59.49,46.35,10.39,Heavy_Rain,Medium,15,4,99.69,0
TRIP-00036,TRK-047,DRV-003,2026-03-27,Mine_B,Railway_Yard_B,32.72,17.03,13.11,30.17,48.48,23.22,Clear,Medium,4,1,73.16,1
TRIP-00079,TRK-048,DRV-092,2026-03-27,Mine_D,Power_Plant_B,101.76,26.36,23.6,44.7,57.05,34.52,Cloudy,Medium,12,8,76.21,0
TRIP-00067,TRK-006,DRV-042,2026-04-02,Mine_D,Railway_Yard_A,33.1,15.3,8.46,45.56,15.81,30.04,Clear,Low,7,7,84.25,0
TRIP-00015,TRK-024,DRV-028,2026-04-03,Mine_A,Railway_Yard_A,40.34,31.81,14.66,64.49,48.64,15.34,Cloudy,Low,8,2,84.52,0
TRIP-00096,TRK-015,DRV-044,2026-04-04,Mine_B,Power_Plant_A,118.09,39.66,30.86,26.63,32.92,34.0,Heavy_Rain,High,15,1,94.32,1
TRIP-00018,TRK-002,DRV-072,2026-04-05,Mine_D,Power_Plant_A,112.9,34.74,31.74,40.24,55.48,22.44,Clear,Medium,3,4,97.89,0
TRIP-00068,TRK-042,DRV-045,2026-04-08,Mine_D,Railway_Yard_A,22.37,39.25,14.98,56.35,54.25,16.15,Clear,Low,10,10,83.91,0
TRIP-00050,TRK-026,DRV-096,2026-04-09,Mine_A,Power_Plant_B,41.18,37.66,15.85,47.44,47.5,29.77,Clear,Medium,14,9,68.82,1
TRIP-00098,TRK-001,DRV-079,2026-04-09,Mine_C,Railway_Yard_B,137.33,28.4,32.33,36.14,56.39,10.67,Cloudy,Medium,19,0,83.54,0
TRIP-00019,TRK-024,DRV-012,2026-04-09,Mine_A,Railway_Yard_A,105.83,17.28,26.66,63.8,32.28,12.56,Clear,Low,8,4,85.01,1
TRIP-00011,TRK-011,DRV-035,2026-04-09,Mine_B,Railway_Yard_B,128.68,30.8,32.09,26.81,34.76,27.42,Clear,Low,5,3,64.97,1
TRIP-00086,TRK-016,DRV-077,2026-04-11,Mine_D,Railway_Yard_B,124.89,37.26,29.54,31.08,56.44,22.28,Clear,Medium,15,0,77.49,1
TRIP-00092,TRK-025,DRV-062,2026-04-13,Mine_B,Power_Plant_A,141.0,23.83,30.93,43.96,30.08,14.2,Clear,Low,7,9,63.81,0
TRIP-00030,TRK-049,DRV-091,2026-04-14,Mine_A,Railway_Yard_B,35.09,17.53,7.85,47.22,39.01,24.16,Clear,Medium,16,5,77.54,0
TRIP-00042,TRK-009,DRV-009,2026-04-14,Mine_C,Power_Plant_A,100.06,38.68,27.3,39.33,51.96,38.38,Cloudy,Low,19,7,66.47,1
TRIP-00090,TRK-024,DRV-027,2026-04-18,Mine_A,Power_Plant_A,120.93,19.7,25.1,38.83,32.96,38.45,Cloudy,High,20,3,83.18,1
TRIP-00094,TRK-041,DRV-097,2026-04-19,Mine_C,Railway_Yard_A,75.77,16.94,16.67,31.89,15.21,24.62,Clear,High,1,1,72.49,1
TRIP-00033,TRK-028,DRV-099,2026-04-24,Mine_B,Railway_Yard_B,131.21,16.82,31.2,58.99,21.83,33.27,Clear,High,11,0,86.01,0
TRIP-00065,TRK-004,DRV-028,2026-04-25,Mine_A,Railway_Yard_B,45.45,20.59,9.99,61.17,37.76,34.91,Clear,Medium,6,1,61.18,0
TRIP-00020,TRK-044,DRV-034,2026-04-26,Mine_C,Railway_Yard_A,56.39,27.36,16.49,58.68,39.46,39.91,Heavy_Rain,Low,2,10,91.34,1
TRIP-00095,TRK-029,DRV-051,2026-04-26,Mine_B,Railway_Yard_B,117.61,39.36,31.18,32.69,30.01,36.84,Heavy_Rain,High,6,0,75.96,1
TRIP-00009,TRK-023,DRV-008,2026-04-27,Mine_D,Railway_Yard_B,23.3,38.77,13.66,62.31,32.66,37.45,Clear,Low,16,3,86.82,0
TRIP-00012,TRK-024,DRV-033,2026-05-04,Mine_C,Power_Plant_A,110.48,26.21,27.95,26.05,31.96,28.97,Cloudy,Low,13,5,95.85,1
TRIP-00075,TRK-010,DRV-084,2026-05-05,Mine_C,Railway_Yard_A,125.88,39.23,33.74,44.68,40.93,15.44,Rain,High,4,10,78.63,1
TRIP-00038,TRK-003,DRV-005,2026-05-07,Mine_B,Power_Plant_B,81.55,39.67,22.87,49.25,40.65,26.79,Clear,Medium,7,7,89.77,0
TRIP-00024,TRK-021,DRV-062,2026-05-08,Mine_D,Railway_Yard_B,99.52,37.19,29.45,35.94,57.29,32.5,Cloudy,Medium,1,8,82.12,1
TRIP-00040,TRK-007,DRV-014,2026-05-10,Mine_C,Railway_Yard_B,76.4,24.27,20.9,51.87,54.45,15.46,Clear,Low,11,0,77.35,0
TRIP-00056,TRK-044,DRV-015,2026-05-15,Mine_C,Railway_Yard_B,94.81,17.97,21.46,49.81,30.56,13.12,Clear,High,14,3,76.64,0
TRIP-00044,TRK-018,DRV-015,2026-05-17,Mine_D,Power_Plant_A,25.89,33.83,10.35,51.86,53.09,18.12,Heavy_Rain,Low,10,1,86.13,0
TRIP-00064,TRK-040,DRV-086,2026-05-22,Mine_D,Railway_Yard_B,137.7,36.71,35.47,42.5,41.38,35.67,Cloudy,Medium,16,4,83.52,0
TRIP-00066,TRK-002,DRV-066,2026-05-23,Mine_C,Railway_Yard_B,29.02,39.08,16.08,38.93,42.52,21.92,Cloudy,Medium,19,7,75.82,0
TRIP-00063,TRK-050,DRV-059,2026-05-24,Mine_B,Railway_Yard_B,144.95,22.14,31.82,40.69,21.9,31.67,Rain,High,3,4,80.56,1
TRIP-00001,TRK-039,DRV-009,2026-05-27,Mine_D,Power_Plant_B,114.39,23.0,26.13,52.39,24.07,32.13,Cloudy,Low,15,1,92.98,0
TRIP-00076,TRK-036,DRV-030,2026-05-30,Mine_D,Power_Plant_B,56.64,28.08,13.89,35.33,42.3,27.49,Rain,High,18,8,93.44,1
TRIP-00037,TRK-044,DRV-001,2026-05-31,Mine_D,Railway_Yard_B,83.91,17.12,19.54,63.16,16.51,22.02,Clear,Medium,6,10,78.81,0
TRIP-00053,TRK-028,DRV-004,2026-06-01,Mine_B,Railway_Yard_B,23.45,15.28,8.14,30.36,46.23,16.93,Clear,Medium,7,8,93.62,1
TRIP-00073,TRK-044,DRV-028,2026-06-02,Mine_C,Railway_Yard_B,129.83,16.84,28.1,30.88,46.83,16.24,Clear,Low,4,1,74.37,1
TRIP-00052,TRK-020,DRV-096,2026-06-02,Mine_B,Railway_Yard_A,103.51,27.32,23.73,41.14,43.85,16.66,Cloudy,High,12,3,68.14,0
TRIP-00039,TRK-037,DRV-090,2026-06-04,Mine_D,Railway_Yard_A,42.52,24.36,16.79,34.15,49.31,14.66,Rain,Low,5,8,94.87,1
TRIP-00007,TRK-039,DRV-011,2026-06-07,Mine_A,Power_Plant_B,77.07,22.98,18.22,49.54,31.15,24.95,Clear,Low,6,6,92.86,0
TRIP-00021,TRK-030,DRV-033,2026-06-09,Mine_A,Railway_Yard_B,144.13,16.44,31.21,58.53,55.79,25.07,Rain,High,8,3,84.49,1
TRIP-00022,TRK-038,DRV-048,2026-06-10,Mine_B,Railway_Yard_B,115.93,28.74,28.67,43.75,43.09,27.86,Cloudy,Low,13,5,79.38,1
TRIP-00043,TRK-039,DRV-079,2026-06-10,Mine_C,Railway_Yard_A,102.56,39.65,26.62,29.54,19.98,21.2,Cloudy,Low,10,10,60.83,0
TRIP-00100,TRK-007,DRV-032,2026-06-17,Mine_D,Railway_Yard_B,127.44,35.34,30.95,28.55,30.61,26.25,Rain,Medium,2,0,75.87,1
TRIP-00048,TRK-050,DRV-051,2026-06-19,Mine_B,Power_Plant_B,131.34,28.96,32.01,59.09,21.75,14.68,Clear,Medium,4,4,63.26,1
TRIP-00082,TRK-014,DRV-097,2026-06-19,Mine_D,Power_Plant_B,124.45,37.53,31.01,34.61,20.1,21.39,Cloudy,Low,1,5,74.91,1
TRIP-00006,TRK-021,DRV-063,2026-06-21,Mine_B,Power_Plant_A,55.21,17.28,14.33,54.03,38.54,15.29,Cloudy,Low,18,6,87.73,0
TRIP-00059,TRK-035,DRV-036,2026-06-22,Mine_A,Power_Plant_A,79.57,33.65,21.58,30.45,41.25,29.58,Cloudy,Medium,17,5,89.41,0
TRIP-00031,TRK-027,DRV-035,2026-06-23,Mine_C,Railway_Yard_A,25.98,17.1,7.66,55.76,55.23,26.95,Clear,Medium,9,1,88.99,1
TRIP-00035,TRK-015,DRV-078,2026-06-24,Mine_D,Power_Plant_B,81.64,32.66,22.84,43.02,26.18,25.73,Clear,Medium,10,7,84.63,0
TRIP-00046,TRK-025,DRV-042,2026-06-25,Mine_A,Power_Plant_B,101.36,17.09,26.34,55.89,32.88,22.26,Clear,Low,7,6,81.7,0
TRIP-00081,TRK-008,DRV-062,2026-06-29,Mine_A,Power_Plant_B,115.56,29.61,26.48,50.34,35.29,17.78,Clear,Medium,10,10,85.3,1
TRIP-00017,TRK-022,DRV-073,2026-06-30,Mine_A,Power_Plant_A,91.4,34.79,22.12,48.77,25.45,14.46,Clear,High,19,7,97.41,0
